order_item_id,order_item_order_id,order_item_product_id,order_item_quantity,order_item_subtotal,order_item_product_price
87,29,1004,1,399.98,399.98
88,30,502,2,100.0,50.0
89,31,191,5,499.95,99.99
90,33,403,1,129.99,129.99
91,33,1073,1,199.99,199.99
92,33,403,1,129.99,129.99
93,33,1014,4,199.92,49.98
94,34,957,1,299.98,299.98
95,35,403,1,129.99,129.99
96,36,502,2,100.0,50.0
97,36,957,1,299.98,299.98
98,36,1004,1,399.98,399.98
99,37,365,1,59.99,59.99
100,37,906,4,99.96,24.99
101,38,627,4,159.96,39.99
102,38,502,4,200.0,50.0
103,39,1073,1,199.99,199.99
104,41,1014,4,199.92,49.98
105,41,825,4,127.96,31.99
106,42,627,1,39.99,39.99
107,42,365,5,299.95,59.99
108,42,1004,1,399.98,399.98
109,43,957,1,299.98,299.98
110,43,191,1,99.99,99.99
111,43,403,1,129.99,129.99
112,44,1004,1,399.98,399.98
113,45,627,5,199.95,39.99
114,45,627,4,159.96,39.99
115,45,924,5,79.95,15.99
116,45,365,1,59.99,59.99
117,46,403,1,129.99,129.99
118,46,1014,2,99.96,49.98
119,48,1014,1,49.98,49.98
120,48,886,2,49.98,24.99
121,49,957,1,299.98,299.98
122,49,365,2,119.98,59.99
123,49,403,1,129.99,129.99
124,50,403,1,129.99,129.99
125,50,957,1,299.98,299.98
126,51,502,1,50.0,50.0
127,51,1004,1,399.98,399.98
128,52,1014,5,249.9,49.98
129,52,1014,3,149.94,49.98
130,56,1073,1,199.99,199.99
131,56,1014,4,199.92,49.98
132,56,957,1,299.98,299.98
133,57,365,3,179.97,59.99
134,57,365,2,119.98,59.99
135,57,403,1,129.99,129.99
136,57,821,4,207.96,51.99
137,58,775,2,19.98,9.99
138,58,502,1,50.0,50.0
139,58,1004,1,399.98,399.98
140,58,1073,1,199.99,199.99
141,58,403,1,129.99,129.99
142,59,957,1,299.98,299.98
143,59,365,1,59.99,59.99
144,59,365,1,59.99,59.99
145,59,1073,1,199.99,199.99
146,61,365,2,119.98,59.99
147,61,365,2,119.98,59.99
148,61,191,4,399.96,99.99
149,62,1004,1,399.98,399.98
150,62,1004,1,399.98,399.98
151,62,957,1,299.98,299.98
152,62,502,1,50.0,50.0
153,63,1004,1,399.98,399.98
154,63,1014,2,99.96,49.98
155,63,1004,1,399.98,399.98
156,64,502,3,150.0,50.0
157,64,502,1,50.0,50.0
158,64,365,1,59.99,59.99
159,64,191,2,199.98,99.99
160,64,502,4,200.0,50.0
161,65,957,1,299.98,299.98
162,66,403,1,129.99,129.99
163,66,365,2,119.98,59.99
164,66,957,1,299.98,299.98
165,66,403,1,129.99,129.99
166,67,502,3,150.0,50.0
167,68,957,1,299.98,299.98
168,69,365,4,239.96,59.99
169,70,1073,1,199.99,199.99
170,70,403,1,129.99,129.99
171,70,957,1,299.98,299.98
172,71,191,5,499.95,99.99
173,71,365,2,119.98,59.99
174,71,627,1,39.99,39.99
175,72,627,2,79.98,39.99
176,72,1073,1,199.99,199.99
177,72,572,3,119.97,39.99
178,72,835,2,63.98,31.99
179,73,1014,5,249.9,49.98
180,73,1014,5,249.9,49.98
181,73,1014,5,249.9,49.98
182,73,403,1,129.99,129.99
183,73,191,4,399.96,99.99
184,74,365,2,119.98,59.99
185,75,403,1,129.99,129.99
186,75,502,1,50.0,50.0
187,75,502,4,200.0,50.0
188,75,1004,1,399.98,399.98
189,77,1014,2,99.96,49.98
190,77,365,5,299.95,59.99
191,77,191,1,99.99,99.99
192,77,403,1,129.99,129.99
193,77,502,2,100.0,50.0
194,81,627,5,199.95,39.99
195,81,627,3,119.97,39.99
196,81,1014,4,199.92,49.98
197,81,403,1,129.99,129.99
198,83,1073,1,199.99,199.99
199,84,1004,1,399.98,399.98
200,84,191,5,499.95,99.99
201,84,627,5,199.95,39.99
202,84,502,4,200.0,50.0
203,84,1073,1,199.99,199.99
204,87,627,3,119.97,39.99
205,88,403,1,129.99,129.99
206,88,1014,3,149.94,49.98
207,91,1004,1,399.98,399.98
208,91,365,5,299.95,59.99
209,92,1014,4,199.92,49.98
210,93,778,4,99.96,24.99
211,94,1004,1,399.98,399.98
212,94,627,4,159.96,39.99
213,94,403,1,129.99,129.99
214,94,1014,1,49.98,49.98
215,95,627,5,199.95,39.99
216,96,1014,2,99.96,49.98
217,96,957,1,299.98,299.98
218,96,403,1,129.99,129.99
219,97,886,5,124.95,24.99
220,98,403,1,129.99,129.99
221,98,502,2,100.0,50.0
222,99,191,5,499.95,99.99
223,99,502,4,200.0,50.0
224,99,1073,1,199.99,199.99
225,99,1073,1,199.99,199.99
226,100,403,1,129.99,129.99
227,100,365,2,119.98,59.99
228,100,191,3,299.97,99.99
229,101,191,1,99.99,99.99
230,101,957,1,299.98,299.98
231,101,1073,1,199.99,199.99
232,101,957,1,299.98,299.98
233,103,365,5,299.95,59.99
234,103,403,1,129.99,129.99
235,103,1004,1,399.98,399.98
236,104,403,1,129.99,129.99
237,104,957,1,299.98,299.98
238,104,365,2,119.98,59.99
